video,run,frames,init_s,propagate_s,end_to_end_s,mean_iter_s,p50_dt_ms,p95_dt_ms,max_dt_ms,peak_ram_mb,peak_vram_alloc_mb,peak_vram_peak_mb
electricfan-1,BASE,1646,45.257708,89.41978,134.677488,18.416678059040567,54.04881499998737,57.08824799876311,111.37210900051286,28399.022,538.885,772.717
electricfan-1,OPT,1646,0.718514,92.543844,93.262358,17.829689147013042,55.5292470016866,59.94591739799943,143.8608580028813,3512.574,1831.943,2064.727
electricfan-10,BASE,1601,43.943519,85.61515599999998,129.558675,18.692460377425515,53.396122999401996,54.57289059868344,65.59265100077027,28028.379,539.836,773.669
electricfan-10,OPT,1601,0.072226,89.317514,89.38974,17.94521381512888,55.292564999035676,58.60113729868317,87.61404800316086,5205.938,1799.095,2064.727
electricfan-18,BASE,1863,50.481489,99.79879799999998,150.280287,18.666006873148614,53.29687300036312,55.784419349402015,66.97361599799478,32191.721,539.006,773.669
electricfan-18,OPT,1863,0.069569,104.207577,104.277146,17.91001116967438,55.21998050062393,59.324269200988056,88.61841399993864,6663.59,2005.763,2238.268
electricfan-20,BASE,2305,56.855542,118.600994,175.456536,19.431526205997116,51.33775400099694,52.78534350072732,73.66072400327539,38102.434,538.786,773.669
electricfan-20,OPT,2305,0.065961,124.23936499999999,124.305326,18.595658746258962,53.09420749836136,57.641571100612055,84.14629500111914,7809.806,2352.612,2586.262
gecko-1,BASE,2406,51.502636,122.443464,173.9461,19.64617707117571,50.79988099896582,52.057585001603,66.10978199751116,39453.655,538.674,773.669
gecko-1,OPT,2406,0.063706,127.752492,127.816198,18.86353580734164,52.48268500145059,56.03157700024895,81.45702600086224,8686.678,2428.922,2661.175
gecko-5,BASE,1251,26.364562,63.290752000000005,89.655314,19.75543838868587,50.53663249782403,51.69513600012579,68.0514720006613,25825.047,534.249,773.848
gecko-5,OPT,1251,0.062305,65.76826600000001,65.830571,19.02505540326026,52.221060499505256,54.59849889884936,80.41609299834818,12904.804,1516.211,2661.175
gecko-16,BASE,1471,39.909649,78.462807,118.372456,18.739638480770285,53.25179400097113,54.4798709493989,65.1800199993886,27688.632,538.662,773.669
gecko-16,OPT,1471,0.06678,82.52187500000001,82.588655,17.846219111338307,55.64330100060033,58.63453034980921,88.53150999857462,10118.074,1696.595,2661.175
gecko-19,BASE,2186,59.661978,117.114642,176.77662,18.66166805259517,53.45077600213699,54.79928459899382,65.57967300250311,37616.947,538.967,773.848
gecko-19,OPT,2186,0.071444,123.324911,123.396355,17.76105505569348,55.74037400219822,59.584190198074786,92.589632000454,11473.342,2258.524,2661.175
mouse-1,BASE,1547,38.295508,79.21004,117.505548,19.52226400374201,51.14872749800271,52.1662892506356,65.88661599744228,29549.609,535.968,773.848
mouse-1,OPT,1547,0.070683,83.269109,83.339792,18.59939337544854,53.33237449849548,56.42322950006928,83.54908199908095,14125.081,1753.105,2661.175
mouse-8,BASE,1275,27.34484,64.832118,92.176958,19.65521099546595,50.82589750054467,51.91249100080313,65.9613679999893,25202.758,533.009,773.848
mouse-8,OPT,1275,0.066241,67.989381,68.055622,18.760308738441235,52.991124999607564,55.713746951551,89.43645299950731,16799.371,1537.291,2661.175
mouse-9,BASE,2818,61.167503,143.40973699999998,204.57724,19.652184983318453,50.74081000202568,52.0696893989225,114.6851740013517,44941.5,537.073,773.848
mouse-9,OPT,2818,0.063966,151.643615,151.707581,18.62447595725152,53.13407599896891,56.78710259962827,121.25781299982918,18253.677,2754.822,2986.814
mouse-17,BASE,1608,32.341911,81.37428299999999,113.716194,19.75351521352396,50.520745000540046,51.688492100220174,62.68319799710298,29672.829,534.417,773.848
mouse-17,OPT,1608,0.06595,85.313399,85.379349,18.864175953676188,52.63856099918485,55.760286201984854,83.07145499929902,15523.193,1799.041,2661.175
