category,n_videos,n_frames,P50,P75,P90,P99,P100,mean,std
yoyo,6,20595,7.0,12.0,19.0,33.0,59.0,10.2,6.1
airplane,6,18055,6.0,6.0,6.0,29.0,170.0,6.9,9.5
bear,6,12602,6.0,6.0,6.0,6.0,19.0,6.0,0.4
bicycle,6,12788,6.0,6.0,6.0,50.0,163.0,7.3,10.8
bird,6,15130,6.0,6.0,6.0,21.0,58.0,6.4,3.1
basketball,6,15231,6.0,6.0,10.0,53.0,125.0,8.1,9.2
boat,6,11920,6.0,6.0,6.0,6.0,19.0,6.0,0.4
book,6,14320,6.0,6.0,6.0,14.0,84.0,6.4,4.3
bus,6,24433,6.0,6.0,6.0,6.0,6.0,6.0,0.1
bottle,6,13034,6.0,6.0,6.0,13.0,89.0,6.4,4.3
cat,6,16997,6.0,6.0,6.0,6.0,18.0,6.0,0.4
cattle,6,11345,6.0,6.0,6.0,9.0,42.0,6.1,1.4
chameleon,6,11268,6.0,6.0,6.0,6.0,22.0,6.0,0.5
car,6,11540,6.0,6.0,6.0,6.0,19.0,6.0,0.5
crab,6,12346,6.0,6.0,6.0,26.0,130.0,6.8,7.6
crocodile,6,12575,6.0,6.0,6.0,11.0,55.0,6.2,2.3
cup,6,12442,6.0,6.0,6.0,6.0,14.0,6.0,0.3
deer,6,15259,6.0,6.0,6.0,490.0,639.0,20.5,74.6
dog,6,10990,6.0,6.0,6.0,13.0,37.0,6.2,1.6
drone,6,13341,6.0,6.0,34.0,164.0,258.0,16.0,31.9
electricfan,6,11541,6.0,6.0,6.0,56.0,153.0,7.4,10.5
coin,6,12182,6.0,6.0,6.0,11.0,35.0,6.1,1.2
flag,6,15883,6.0,6.0,6.0,7.0,14.0,6.0,0.5
fox,6,13281,6.0,6.0,6.0,102.0,178.0,8.9,15.6
frog,6,13549,6.0,6.0,6.0,48.0,75.0,7.9,7.6
gametarget,6,11068,6.0,6.0,6.0,18.0,37.0,6.4,2.2
gecko,6,11301,6.0,6.0,6.0,91.0,166.0,9.0,14.8
giraffe,6,13560,6.0,6.0,6.0,72.0,147.0,7.7,11.2
goldfish,6,15673,6.0,6.0,6.0,59.0,117.0,7.2,8.8
gorilla,6,12579,6.0,6.0,6.0,42.0,130.0,7.1,8.1
guitar,6,14837,6.0,6.0,6.0,7.0,64.0,6.2,2.4
hand,6,18868,6.0,6.0,6.0,105.0,294.0,8.9,20.8
hat,6,13980,6.0,6.0,7.0,88.0,156.0,8.4,13.2
helmet,6,14914,6.0,6.0,14.0,139.0,231.0,11.4,21.6
hippo,6,15255,6.0,6.0,6.0,126.0,249.0,9.4,20.6
horse,6,18689,6.0,6.0,6.0,6.0,60.0,6.1,2.0
kangaroo,6,16135,6.0,6.0,6.0,6.0,63.0,6.1,2.1
elephant,6,13377,6.0,6.0,6.0,51.0,139.0,7.3,9.1
kite,6,27315,6.0,6.0,6.0,27.0,142.0,6.9,7.1
leopard,6,14043,6.0,6.0,6.0,25.0,93.0,6.6,5.7
lion,6,17707,6.0,6.0,6.0,226.0,350.0,12.5,34.9
licenseplate,6,11412,6.0,6.0,6.0,18.0,66.0,6.4,3.2
microphone,6,14678,6.0,6.0,10.0,100.0,231.0,9.9,18.3
monkey,6,13300,6.0,6.0,6.0,41.0,92.0,6.8,6.3
motorcycle,6,13769,6.0,6.0,6.0,283.0,417.0,13.2,41.8
lizard,6,13842,6.0,6.0,11.0,625.0,759.0,28.6,100.4
person,6,22689,6.0,6.0,6.0,6.0,15.0,6.0,0.2
pig,6,13345,6.0,6.0,6.0,6.0,21.0,6.0,0.5
pool,4,22740,6.0,6.0,6.0,18.0,55.0,6.4,2.5
rabbit,6,17954,6.0,6.0,6.0,6.0,21.0,6.0,0.4
racing,6,25897,6.0,6.0,6.0,149.0,334.0,9.9,25.2
robot,6,19713,6.0,6.0,6.0,9.0,96.0,6.4,4.6
rubicCube,6,14067,6.0,6.0,6.0,6.0,18.0,6.0,0.5
mouse,6,14119,6.0,6.0,40.0,179.0,274.0,16.8,32.4
sepia,6,11426,6.0,6.0,6.0,6.0,15.0,6.0,0.3
shark,6,10901,6.0,6.0,6.0,27.0,64.0,6.6,3.8
skateboard,6,19505,6.0,6.0,6.0,36.0,69.0,6.8,4.9
sheep,6,16974,6.0,6.0,6.0,20.0,69.0,6.4,3.3
squirrel,6,10622,6.0,6.0,6.0,6.0,8.0,6.0,0.2
surfboard,6,17889,6.0,6.0,6.0,18.0,67.0,6.4,3.3
swing,6,14051,6.0,6.0,6.0,9.0,26.0,6.1,0.9
spider,6,19195,6.0,6.0,6.0,21.0,82.0,6.5,3.9
tank,6,20248,6.0,6.0,199.0,715.0,913.0,57.2,146.0
tiger,6,11579,6.0,6.0,6.0,19.0,87.0,6.4,4.4
truck,6,16535,6.0,6.0,6.0,6.0,37.0,6.1,1.4
train,6,14122,6.0,6.0,6.0,6.0,28.0,6.0,0.7
turtle,6,22927,6.0,6.0,6.0,335.0,563.0,13.0,49.8
umbrella,6,33437,6.0,6.0,6.0,9.0,53.0,6.1,1.4
volleyball,6,8367,6.0,11.0,24.0,73.0,108.0,11.5,12.7
zebra,6,11226,6.0,6.0,6.0,12.0,41.0,6.2,1.7
